store_name,country,vp_amount,vp_price
arekta_coin_store,Malaysia,475,485.0
arekta_coin_store,Malaysia,1000,985.0
arekta_coin_store,Malaysia,2050,1950.0
arekta_coin_store,Malaysia,3650,3390.0
arekta_coin_store,Malaysia,5350,4850.0
arekta_coin_store,Malaysia,11000,9600.0
infinity_gamestop,Malaysia,475,490.0
infinity_gamestop,Malaysia,1000,1010.0
infinity_gamestop,Malaysia,2050,1950.0
infinity_gamestop,Malaysia,3650,3400.0
infinity_gamestop,Malaysia,5350,4940.0
infinity_gamestop,Malaysia,11000,9890.0
murubbi_game_store,Malaysia,475,505.0
murubbi_game_store,Malaysia,1000,1035.0
murubbi_game_store,Malaysia,2050,2020.0
murubbi_game_store,Malaysia,3650,3520.0
murubbi_game_store,Malaysia,5350,5010.0
murubbi_game_store,Malaysia,11000,10040.0
steam_store_bd,Malaysia,475,469.0
steam_store_bd,Malaysia,1000,969.0
steam_store_bd,Malaysia,1475,1439.0
steam_store_bd,Malaysia,2050,1889.0
steam_store_bd,Malaysia,2525,2349.0
steam_store_bd,Malaysia,3050,2859.0
steam_store_bd,Malaysia,3650,3285.0
steam_store_bd,Malaysia,4125,3755.0
steam_store_bd,Malaysia,5350,4749.0
steam_store_bd,Malaysia,7400,6649.0
steam_store_bd,Malaysia,11000,9599.0
vai_amra_trusted,Malaysia,475,480.0
vai_amra_trusted,Malaysia,1000,999.0
vai_amra_trusted,Malaysia,1475,1480.0
vai_amra_trusted,Malaysia,2050,1880.0
vai_amra_trusted,Malaysia,2525,2360.0
vai_amra_trusted,Malaysia,3050,2880.0
vai_amra_trusted,Malaysia,3650,3250.0
vai_amra_trusted,Malaysia,4125,3730.0
vai_amra_trusted,Malaysia,5350,4750.0
vai_amra_trusted,Malaysia,7400,6550.0
vai_amra_trusted,Malaysia,11000,9880.0
